time_measured,temperature,relative_humidity,ambient_light,barometric_pressure,sound_noise,eTVOC,eCO2,discomfort_index,heat_stroke,vibration_information,si_value,pga,seismic_intensity,temperature_flag,relative_humidity_flag,ambient_light_flag,barometric_pressure_flag,sound_noise_flag,etvoc_flag,eco2_flag,discomfort_index_flag,heat_stroke_flag,si_value_flag,pga_flag,seismic_intensity_flag
1710146945,20.38,42.01,139,994.715,77.81,78,915,65.27,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146946,20.4,42.01,146,994.718,77.49,78,915,65.3,16.48,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146947,20.39,42.03,146,994.72,77.66,78,915,65.28,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146948,20.39,42.07,148,994.72,77.84,83,945,65.29,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146949,20.4,42.1,139,994.721,76.88,79,925,65.3,16.48,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146950,20.39,42.1,144,994.724,78.68,85,961,65.29,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146951,20.4,42.1,146,994.719,77.8,85,961,65.3,16.48,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146952,20.37,42.15,146,994.714,77.82,87,977,65.27,16.46,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146953,20.39,42.14,144,994.71,78.23,87,977,65.29,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146955,20.39,42.15,146,994.709,76.22,79,925,65.29,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146956,20.41,42.09,141,994.708,77.19,83,945,65.31,16.49,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146957,20.42,42.07,146,994.707,77.65,83,945,65.32,16.49,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146958,20.39,42.13,146,994.709,76.63,78,915,65.29,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146959,20.39,42.12,148,994.71,76.36,78,915,65.29,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146960,20.38,42.14,146,994.709,77.31,76,905,65.28,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146961,20.36,42.16,146,994.707,78.37,78,915,65.26,16.48,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146962,20.38,42.15,146,994.706,77.91,76,905,65.28,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146963,20.36,42.19,139,994.707,77.43,76,905,65.26,16.48,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146965,20.37,42.18,148,994.706,78.35,76,905,65.27,16.48,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146966,20.34,42.19,148,994.71,77.6,72,877,65.23,16.46,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146967,20.36,42.17,148,994.71,78.07,72,877,65.26,16.48,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146968,20.38,42.14,146,994.71,78.3,67,846,65.28,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146969,20.38,42.12,146,994.707,77.34,67,846,65.28,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146970,20.39,42.08,146,994.707,79.47,67,846,65.29,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146971,20.4,42.05,146,994.708,76.98,67,846,65.3,16.48,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146972,20.41,42.0,146,994.709,77.38,67,846,65.31,16.49,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
